date_yearmon,SSDI,SSI,Concurrent,State,year,month
Jan 2020,70972.42321428568,73033.47678571432,45105.76607142862,NW,2020,1
Feb 2020,82768.25892857106,84448.84374999971,52999.29687500043,NW,2020,2
Mar 2020,76815.55357142832,75446.95312500017,49028.290178571195,NW,2020,3
Apr 2020,85877.2321428575,75550.22321428596,52182.91964285704,NW,2020,4
May 2020,79996.28869421872,75065.72775638918,48770.89727252673,NW,2020,5
Jun 2020,82462.72465348405,77024.45300680811,48913.288972936956,NW,2020,6
Jul 2020,79427.70121292872,70043.99580088463,44643.23400877489,NW,2020,7
Aug 2020,81550.35166182008,71385.67041614027,45204.14656188168,NW,2020,8
Sep 2020,73167.88190221228,64895.19695049848,40480.09153199954,NW,2020,9
Oct 2020,75238.93525520976,68011.23631172554,42148.35631555532,NW,2020,10
Nov 2020,69854.85774594713,61925.27386704931,38170.33525121167,NW,2020,11
Dec 2020,73485.92648605717,62923.716671065515,39759.15072103524,NW,2020,12
Jan 2021,70652.40359396247,60417.7553620265,37353.92813924363,NW,2021,1
Feb 2021,78942.12183537196,68887.0209569994,42592.862576571926,NW,2021,2
Mar 2021,82012.22106755567,70484.4802683787,43174.240647250146,NW,2021,3
Apr 2021,78367.40608135909,66799.22278361747,39967.37694208096,NW,2021,4
May 2021,81768.97865373659,69683.6543486469,42586.81671732947,NW,2021,5
Jun 2021,75007.92138628414,60375.27031255615,38857.536179523704,NW,2021,6
Jul 2021,76904.09989552308,59301.63877875931,39173.01600622596,NW,2021,7
Aug 2021,83514.98884561722,65344.12825069794,43320.24127933203,NW,2021,8
Sep 2021,79810.35062525416,62401.91894490173,42375.09809915579,NW,2021,9
Oct 2021,80705.44645453867,63885.551729377614,43584.28215749143,NW,2021,10
Nov 2021,77526.87908602027,60924.49506311088,40943.038321899665,NW,2021,11
